CLAVE SITIO,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES
DLAGU0001RNL21,PRESA NATILLAS DE ABAJO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,COSIO,RÍO SAN PEDRO,PRESA NATILLAS DE ABAJO,LÉNTICO,PRESA,-102.3139,22.37292,2012-2024,23.2,Aceptable,48,Contaminada,50,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU0002RNL21,PRESA EL JOCOQUI,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,RINCÓN DE ROMOS,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.3609,22.12506,2012-2024,4.86,Buena calidad,18,Buena calidad,<10,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,VERDE,
DLAGU0003RNL21,BORDO SANTA ELENA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA SANTA ELENA,LÉNTICO,PRESA,-102.2503,21.909356,2012-2024,6.6,Aceptable,189,Contaminada,32,Buena calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU0004RNL21,HUMEDAL BUENAVISA DE PEÑUELAS  CHARCA NO. 5,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,HUMEDAL BUENAVISA,LÉNTICO,HUMEDAL,-102.300129,21.71844,2012-2024,11,Aceptable,43.75,Contaminada,19,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU0005RNL21,PRESA PEÑA BLANCA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA PEÑA BLANCA,LÉNTICO,PRESA,-102.7519722,21.905277,2012-2024,2.91,Excelente,49,Contaminada,<10,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,ROJO,"DQO,"
DLAGU11,PRESA JOCOQUI 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.35794,22.12123,2012-2024,2.34,Excelente,35,Aceptable,10,Excelente,75.3081917,Excelente,3.355260403,Excelente,,,,,107.6,Excelente,61.8,Buena calidad,36.2,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU12,PRESA EL JOCOQUI COLA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,RÍO SAN PEDRO,PRESA EL JOCOQUI,LÉNTICO,PRESA,-102.37846,22.1358,2012-2024,2.38,Excelente,35.57,Aceptable,10,Excelente,127.1406558,Buena calidad,4.040191109,Excelente,,,,,99.9,Excelente,88.6,Excelente,60.8,Buena calidad,,,,,<1,No tóxico,<1,No tóxico,1.14,Toxicidad baja,1.25,Toxicidad baja,VERDE,
DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.41856,22.14165,2012-2024,2.07,Excelente,24.24,Aceptable,10,Excelente,236.2894979,Aceptable,27.69565587,Excelente,,,,,103.6,Excelente,68.2,Buena calidad,42.8,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,1.83,Toxicidad moderada,VERDE,
DLAGU14,PRESA PRESIDENTE CALLES EMBARCADERO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.4263,22.15254,2012-2024,2,Excelente,27.72,Aceptable,10,Excelente,106.6602886,Buena calidad,7.489619984,Excelente,,,,,101.2,Excelente,74.5,Excelente,46.1,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
DLAGU15,PRESA PRESIDENTE CALLES TECONGO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.44221,22.13077,2012-2024,2,Excelente,26.254,Aceptable,10,Excelente,40.87668265,Excelente,7.080950602,Excelente,,,,,99.1,Excelente,71.7,Excelente,41.6,Aceptable,,,,,<1,No tóxico,<1,No tóxico,<1,No tóxico,<1,No tóxico,VERDE,
